Sample in Buffer,Sample in Window,TRIGGER,probe0_counter[31:0],probe1_reset[3:0],probe2_inputs[2:0],probe3_zero[31:0],probe4_zero[31:0],probe5_jtag[3:0],probe6_status[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
113,113,0,0159604c,c,7,00000000,00000000,f,4
114,114,0,0159604d,c,7,00000000,00000000,f,4
115,115,0,0159604e,c,7,00000000,00000000,f,4
116,116,0,0159604f,c,7,00000000,00000000,f,4
117,117,0,01596050,c,7,00000000,00000000,f,4
118,118,0,01596051,c,7,00000000,00000000,f,4
119,119,0,01596052,c,7,00000000,00000000,f,4
120,120,0,01596053,c,7,00000000,00000000,f,4
121,121,0,01596054,c,7,00000000,00000000,f,4
122,122,0,01596055,c,7,00000000,00000000,f,4
123,123,0,01596056,c,7,00000000,00000000,f,4
124,124,0,01596057,c,7,00000000,00000000,f,4
125,125,0,01596058,c,7,00000000,00000000,f,4
126,126,0,01596059,c,7,00000000,00000000,f,4
127,127,0,0159605a,c,7,00000000,00000000,f,4
128,128,0,0159605b,c,7,00000000,00000000,f,4
129,129,0,0159605c,c,7,00000000,00000000,f,4
130,130,0,0159605d,c,7,00000000,00000000,f,4
131,131,0,0159605e,c,7,00000000,00000000,f,4
132,132,0,0159605f,c,7,00000000,00000000,f,4
133,133,0,01596060,c,7,00000000,00000000,f,4
134,134,0,01596061,c,7,00000000,00000000,f,4
135,135,0,01596062,c,7,00000000,00000000,f,4
136,136,0,01596063,c,7,00000000,00000000,f,4
137,137,0,01596064,c,7,00000000,00000000,f,4
138,138,0,01596065,c,7,00000000,00000000,f,4
139,139,0,01596066,c,7,00000000,00000000,f,4
140,140,0,01596067,c,7,00000000,00000000,f,4
141,141,0,01596068,c,7,00000000,00000000,f,4
142,142,0,01596069,c,7,00000000,00000000,f,4
143,143,0,0159606a,c,7,00000000,00000000,f,4
144,144,0,0159606b,c,7,00000000,00000000,f,4
145,145,0,0159606c,c,7,00000000,00000000,f,4
146,146,0,0159606d,c,7,00000000,00000000,f,4
147,147,0,0159606e,c,7,00000000,00000000,f,4
148,148,0,0159606f,c,7,00000000,00000000,f,4
149,149,0,01596070,c,7,00000000,00000000,f,4
150,150,0,01596071,c,7,00000000,00000000,f,4
151,151,0,01596072,c,7,00000000,00000000,f,4
152,152,0,01596073,c,7,00000000,00000000,f,4
153,153,0,01596074,c,7,00000000,00000000,f,4
154,154,0,01596075,c,7,00000000,00000000,f,4
155,155,0,01596076,c,7,00000000,00000000,f,4
156,156,0,01596077,c,7,00000000,00000000,f,4
157,157,0,01596078,c,7,00000000,00000000,f,4
158,158,0,01596079,c,7,00000000,00000000,f,4
159,159,0,0159607a,c,7,00000000,00000000,f,4
160,160,0,0159607b,c,7,00000000,00000000,f,4
161,161,0,0159607c,c,7,00000000,00000000,f,4
162,162,0,0159607d,c,7,00000000,00000000,f,4
163,163,0,0159607e,c,7,00000000,00000000,f,4
164,164,0,0159607f,c,7,00000000,00000000,f,4
165,165,0,01596080,c,7,00000000,00000000,f,4
166,166,0,01596081,c,7,00000000,00000000,f,4
167,167,0,01596082,c,7,00000000,00000000,f,4
168,168,0,01596083,c,7,00000000,00000000,f,4
169,169,0,01596084,c,7,00000000,00000000,f,4
170,170,0,01596085,c,7,00000000,00000000,f,4
171,171,0,01596086,c,7,00000000,00000000,f,4
172,172,0,01596087,c,7,00000000,00000000,f,4
173,173,0,01596088,c,7,00000000,00000000,f,4
174,174,0,01596089,c,7,00000000,00000000,f,4
175,175,0,0159608a,c,7,00000000,00000000,f,4
176,176,0,0159608b,c,7,00000000,00000000,f,4
177,177,0,0159608c,c,7,00000000,00000000,f,4
178,178,0,0159608d,c,7,00000000,00000000,f,4
179,179,0,0159608e,c,7,00000000,00000000,f,4
180,180,0,0159608f,c,7,00000000,00000000,f,4
181,181,0,01596090,c,7,00000000,00000000,f,4
182,182,0,01596091,c,7,00000000,00000000,f,4
183,183,0,01596092,c,7,00000000,00000000,f,4
184,184,0,01596093,c,7,00000000,00000000,f,4
185,185,0,01596094,c,7,00000000,00000000,f,4
186,186,0,01596095,c,7,00000000,00000000,f,4
187,187,0,01596096,c,7,00000000,00000000,f,4
188,188,0,01596097,c,7,00000000,00000000,f,4
189,189,0,01596098,c,7,00000000,00000000,f,4
190,190,0,01596099,c,7,00000000,00000000,f,4
191,191,0,0159609a,c,7,00000000,00000000,f,4
192,192,0,0159609b,c,7,00000000,00000000,f,4
193,193,0,0159609c,c,7,00000000,00000000,f,4
194,194,0,0159609d,c,7,00000000,00000000,f,4
195,195,0,0159609e,c,7,00000000,00000000,f,4
196,196,0,0159609f,c,7,00000000,00000000,f,4
197,197,0,015960a0,c,7,00000000,00000000,f,4
198,198,0,015960a1,c,7,00000000,00000000,f,4
199,199,0,015960a2,c,7,00000000,00000000,f,4
200,200,0,015960a3,c,7,00000000,00000000,f,4
201,201,0,015960a4,c,7,00000000,00000000,f,4
202,202,0,015960a5,c,7,00000000,00000000,f,4
203,203,0,015960a6,c,7,00000000,00000000,f,4
204,204,0,015960a7,c,7,00000000,00000000,f,4
205,205,0,015960a8,c,7,00000000,00000000,f,4
206,206,0,015960a9,c,7,00000000,00000000,f,4
207,207,0,015960aa,c,7,00000000,00000000,f,4
208,208,0,015960ab,c,7,00000000,00000000,f,4
209,209,0,015960ac,c,7,00000000,00000000,f,4
210,210,0,015960ad,c,7,00000000,00000000,f,4
211,211,0,015960ae,c,7,00000000,00000000,f,4
212,212,0,015960af,c,7,00000000,00000000,f,4
213,213,0,015960b0,c,7,00000000,00000000,f,4
214,214,0,015960b1,c,7,00000000,00000000,f,4
215,215,0,015960b2,c,7,00000000,00000000,f,4
216,216,0,015960b3,c,7,00000000,00000000,f,4
217,217,0,015960b4,c,7,00000000,00000000,f,4
218,218,0,015960b5,c,7,00000000,00000000,f,4
219,219,0,015960b6,c,7,00000000,00000000,f,4
220,220,0,015960b7,c,7,00000000,00000000,f,4
221,221,0,015960b8,c,7,00000000,00000000,f,4
222,222,0,015960b9,c,7,00000000,00000000,f,4
223,223,0,015960ba,c,7,00000000,00000000,f,4
224,224,0,015960bb,c,7,00000000,00000000,f,4
225,225,0,015960bc,c,7,00000000,00000000,f,4
226,226,0,015960bd,c,7,00000000,00000000,f,4
227,227,0,015960be,c,7,00000000,00000000,f,4
228,228,0,015960bf,c,7,00000000,00000000,f,4
229,229,0,015960c0,c,7,00000000,00000000,f,4
230,230,0,015960c1,c,7,00000000,00000000,f,4
231,231,0,015960c2,c,7,00000000,00000000,f,4
232,232,0,015960c3,c,7,00000000,00000000,f,4
233,233,0,015960c4,c,7,00000000,00000000,f,4
234,234,0,015960c5,c,7,00000000,00000000,f,4
235,235,0,015960c6,c,7,00000000,00000000,f,4
236,236,0,015960c7,c,7,00000000,00000000,f,4
237,237,0,015960c8,c,7,00000000,00000000,f,4
238,238,0,015960c9,c,7,00000000,00000000,f,4
239,239,0,015960ca,c,7,00000000,00000000,f,4
240,240,0,015960cb,c,7,00000000,00000000,f,4
241,241,0,015960cc,c,7,00000000,00000000,f,4
242,242,0,015960cd,c,7,00000000,00000000,f,4
243,243,0,015960ce,c,7,00000000,00000000,f,4
244,244,0,015960cf,c,7,00000000,00000000,f,4
245,245,0,015960d0,c,7,00000000,00000000,f,4
246,246,0,015960d1,c,7,00000000,00000000,f,4
247,247,0,015960d2,c,7,00000000,00000000,f,4
248,248,0,015960d3,c,7,00000000,00000000,f,4
249,249,0,015960d4,c,7,00000000,00000000,f,4
250,250,0,015960d5,c,7,00000000,00000000,f,4
251,251,0,015960d6,c,7,00000000,00000000,f,4
252,252,0,015960d7,c,7,00000000,00000000,f,4
253,253,0,015960d8,c,7,00000000,00000000,f,4
254,254,0,015960d9,c,7,00000000,00000000,f,4
255,255,0,015960da,c,7,00000000,00000000,f,4
256,256,0,015960db,c,7,00000000,00000000,f,4
257,257,0,015960dc,c,7,00000000,00000000,f,4
258,258,0,015960dd,c,7,00000000,00000000,f,4
259,259,0,015960de,c,7,00000000,00000000,f,4
260,260,0,015960df,c,7,00000000,00000000,f,4
261,261,0,015960e0,c,7,00000000,00000000,f,4
262,262,0,015960e1,c,7,00000000,00000000,f,4
263,263,0,015960e2,c,7,00000000,00000000,f,4
264,264,0,015960e3,c,7,00000000,00000000,f,4
265,265,0,015960e4,c,7,00000000,00000000,f,4
266,266,0,015960e5,c,7,00000000,00000000,f,4
267,267,0,015960e6,c,7,00000000,00000000,f,4
268,268,0,015960e7,c,7,00000000,00000000,f,4
269,269,0,015960e8,c,7,00000000,00000000,f,4
270,270,0,015960e9,c,7,00000000,00000000,f,4
271,271,0,015960ea,c,7,00000000,00000000,f,4
272,272,0,015960eb,c,7,00000000,00000000,f,4
273,273,0,015960ec,c,7,00000000,00000000,f,4
274,274,0,015960ed,c,7,00000000,00000000,f,4
275,275,0,015960ee,c,7,00000000,00000000,f,4
276,276,0,015960ef,c,7,00000000,00000000,f,4
277,277,0,015960f0,c,7,00000000,00000000,f,4
278,278,0,015960f1,c,7,00000000,00000000,f,4
279,279,0,015960f2,c,7,00000000,00000000,f,4
280,280,0,015960f3,c,7,00000000,00000000,f,4
281,281,0,015960f4,c,7,00000000,00000000,f,4
282,282,0,015960f5,c,7,00000000,00000000,f,4
283,283,0,015960f6,c,7,00000000,00000000,f,4
284,284,0,015960f7,c,7,00000000,00000000,f,4
285,285,0,015960f8,c,7,00000000,00000000,f,4
286,286,0,015960f9,c,7,00000000,00000000,f,4
287,287,0,015960fa,c,7,00000000,00000000,f,4
288,288,0,015960fb,c,7,00000000,00000000,f,4
289,289,0,015960fc,c,7,00000000,00000000,f,4
290,290,0,015960fd,c,7,00000000,00000000,f,4
291,291,0,015960fe,c,7,00000000,00000000,f,4
292,292,0,015960ff,c,7,00000000,00000000,f,4
293,293,0,01596100,c,7,00000000,00000000,f,4
294,294,0,01596101,c,7,00000000,00000000,f,4
295,295,0,01596102,c,7,00000000,00000000,f,4
296,296,0,01596103,c,7,00000000,00000000,f,4
297,297,0,01596104,c,7,00000000,00000000,f,4
298,298,0,01596105,c,7,00000000,00000000,f,4
299,299,0,01596106,c,7,00000000,00000000,f,4
