Sample in Buffer,Sample in Window,TRIGGER,probe0_pc[31:0],probe1_reset_uart[3:0],probe2_liveness[2:0],probe3_pc_activity[31:0],probe4_nice_csr[31:0],probe5_nice_hs[3:0],probe6_mem_status[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
200,200,0,00000000,d,0,000e518a,00000000,4,4
201,201,0,00000000,d,0,000e518a,00000000,4,4
202,202,0,00000000,d,0,000e518a,00000000,4,4
203,203,0,00000000,d,0,000e518a,00000000,4,4
204,204,0,00000000,d,0,000e518a,00000000,4,4
205,205,0,00000000,d,0,000e518a,00000000,4,4
206,206,0,00000000,d,0,000e518a,00000000,4,4
207,207,0,00000000,d,0,000e518a,00000000,4,4
208,208,0,00000000,d,0,000e518a,00000000,4,4
209,209,0,00000000,d,0,000e518a,00000000,4,4
210,210,0,00000000,d,0,000e518a,00000000,4,4
211,211,0,00000002,d,0,000e518b,00000000,4,4
212,212,0,00000002,d,0,000e518b,00000000,4,4
213,213,0,00000002,d,0,000e518b,00000000,4,4
214,214,0,00000000,d,0,000e518c,00000000,4,4
215,215,0,00000000,d,0,000e518c,00000000,4,4
216,216,0,00000000,d,0,000e518c,00000000,4,4
217,217,0,00000000,d,0,000e518c,00000000,4,4
218,218,0,00000000,d,0,000e518c,00000000,4,4
219,219,0,00000000,d,0,000e518c,00000000,4,4
220,220,0,00000000,d,0,000e518c,00000000,4,4
221,221,0,00000000,d,0,000e518c,00000000,4,4
222,222,0,00000000,d,0,000e518c,00000000,4,4
223,223,0,00000000,d,0,000e518c,00000000,4,4
224,224,0,00000000,d,0,000e518c,00000000,4,4
225,225,0,00000000,d,0,000e518c,00000000,4,4
226,226,0,00000000,d,0,000e518c,00000000,4,4
227,227,0,00000000,d,0,000e518c,00000000,4,4
228,228,0,00000000,d,0,000e518c,00000000,4,4
229,229,0,00000000,d,0,000e518c,00000000,4,4
230,230,0,00000000,d,0,000e518c,00000000,4,4
231,231,0,00000000,d,0,000e518c,00000000,4,4
232,232,0,00000000,d,0,000e518c,00000000,4,4
233,233,0,00000000,d,0,000e518c,00000000,4,4
234,234,0,00000000,d,0,000e518c,00000000,4,4
235,235,0,00000000,d,0,000e518c,00000000,4,4
236,236,0,00000000,d,0,000e518c,00000000,4,4
237,237,0,00000000,d,0,000e518c,00000000,4,4
238,238,0,00000000,d,0,000e518c,00000000,4,4
239,239,0,00000000,d,0,000e518c,00000000,4,4
240,240,0,00000000,d,0,000e518c,00000000,4,4
241,241,0,00000000,d,0,000e518c,00000000,4,4
242,242,0,00000000,d,0,000e518c,00000000,4,4
243,243,0,00000000,d,0,000e518c,00000000,4,4
244,244,0,00000000,d,0,000e518c,00000000,4,4
245,245,0,00000000,d,0,000e518c,00000000,4,4
246,246,0,00000000,d,0,000e518c,00000000,4,4
247,247,0,00000000,d,0,000e518c,00000000,4,4
248,248,0,00000000,d,0,000e518c,00000000,4,4
249,249,0,00000000,d,0,000e518c,00000000,4,4
250,250,0,00000000,d,0,000e518c,00000000,4,4
251,251,0,00000000,d,0,000e518c,00000000,4,4
252,252,0,00000000,d,0,000e518c,00000000,4,4
253,253,0,00000000,d,0,000e518c,00000000,4,4
254,254,0,00000000,d,0,000e518c,00000000,4,4
255,255,0,00000000,d,0,000e518c,00000000,4,4
256,256,0,00000000,d,0,000e518c,00000000,4,4
257,257,0,00000000,d,0,000e518c,00000000,4,4
258,258,0,00000002,d,0,000e518d,00000000,4,4
259,259,0,00000002,d,0,000e518d,00000000,4,4
260,260,0,00000002,d,0,000e518d,00000000,4,4
261,261,0,00000000,d,0,000e518e,00000000,4,4
262,262,0,00000000,d,0,000e518e,00000000,4,4
263,263,0,00000000,d,0,000e518e,00000000,4,4
264,264,0,00000000,d,0,000e518e,00000000,4,4
265,265,0,00000000,d,0,000e518e,00000000,4,4
266,266,0,00000000,d,0,000e518e,00000000,4,4
267,267,0,00000000,d,0,000e518e,00000000,4,4
268,268,0,00000000,d,0,000e518e,00000000,4,4
