Sample in Buffer,Sample in Window,TRIGGER,probe0_pc[31:0],probe1_status[3:0],probe2_membus_live[2:0],probe3_mem_addr[31:0],probe4_membus_counts[31:0],probe5_uart[3:0],probe6_flags[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
53,53,0,80000078,c,0,1001200c,00000000,4,4
54,54,0,80000078,d,0,1001200c,00000000,4,4
55,55,0,80000078,d,0,1001200c,00000000,4,4
56,56,0,80000078,c,0,1001200c,00000000,4,4
57,57,0,80000078,d,0,1001200c,00000000,4,4
58,58,0,80000078,d,0,1001200c,00000000,4,4
59,59,0,80000078,c,0,1001200c,00000000,4,4
60,60,0,80000078,c,0,1001200c,00000000,4,4
61,61,0,80000078,d,0,1001200c,00000000,4,4
62,62,0,80000078,c,0,1001200c,00000000,4,4
63,63,0,80000078,c,0,1001200c,00000000,4,4
64,64,0,80000078,d,0,1001200c,00000000,4,4
65,65,0,80000078,c,0,1001200c,00000000,4,4
66,66,0,80000078,c,0,1001200c,00000000,4,4
67,67,0,80000078,d,0,1001200c,00000000,4,4
68,68,0,80000078,c,0,1001200c,00000000,4,4
69,69,0,80000078,c,0,1001200c,00000000,4,4
70,70,0,80000078,d,0,1001200c,00000000,4,4
71,71,0,80000078,c,0,1001200c,00000000,4,4
72,72,0,80000078,c,0,1001200c,00000000,4,4
73,73,0,80000078,d,0,1001200c,00000000,4,4
74,74,0,80000078,d,0,1001200c,00000000,4,4
75,75,0,80000078,c,0,1001200c,00000000,4,4
76,76,0,80000078,d,0,1001200c,00000000,4,4
77,77,0,80000078,d,0,1001200c,00000000,4,4
78,78,0,80000078,c,0,1001200c,00000000,4,4
79,79,0,80000078,d,0,1001200c,00000000,4,4
80,80,0,80000078,d,0,1001200c,00000000,4,4
81,81,0,80000078,c,0,1001200c,00000000,4,4
82,82,0,80000078,d,0,1001200c,00000000,4,4
83,83,0,80000078,d,0,1001200c,00000000,4,4
84,84,0,80000078,c,0,1001200c,00000000,4,4
85,85,0,80000078,c,0,1001200c,00000000,4,4
86,86,0,80000078,d,0,1001200c,00000000,4,4
87,87,0,80000078,c,0,1001200c,00000000,4,4
88,88,0,80000078,c,0,1001200c,00000000,4,4
89,89,0,80000078,d,0,1001200c,00000000,4,4
90,90,0,80000078,c,0,1001200c,00000000,4,4
91,91,0,80000078,c,0,1001200c,00000000,4,4
92,92,0,80000078,d,0,1001200c,00000000,4,4
93,93,0,80000078,c,0,1001200c,00000000,4,4
94,94,0,80000078,c,0,1001200c,00000000,4,4
95,95,0,80000078,d,0,1001200c,00000000,4,4
96,96,0,80000078,c,0,1001200c,00000000,4,4
97,97,0,80000078,c,0,1001200c,00000000,4,4
98,98,0,80000078,d,0,1001200c,00000000,4,4
99,99,0,80000078,d,0,1001200c,00000000,4,4
100,100,0,80000078,c,0,1001200c,00000000,4,4
101,101,0,80000078,d,0,1001200c,00000000,4,4
102,102,0,80000078,d,0,1001200c,00000000,4,4
103,103,0,80000078,c,0,1001200c,00000000,4,4
104,104,0,80000078,d,0,1001200c,00000000,4,4
105,105,0,80000078,d,0,1001200c,00000000,4,4
106,106,0,80000078,c,0,1001200c,00000000,4,4
107,107,0,80000078,d,0,1001200c,00000000,4,4
108,108,0,80000078,d,0,1001200c,00000000,4,4
109,109,0,80000078,c,0,1001200c,00000000,4,4
110,110,0,80000078,c,0,1001200c,00000000,4,4
111,111,0,80000078,d,0,1001200c,00000000,4,4
112,112,0,80000078,c,0,1001200c,00000000,4,4
113,113,0,80000078,c,0,1001200c,00000000,4,4
114,114,0,80000078,d,0,1001200c,00000000,4,4
115,115,0,80000078,c,0,1001200c,00000000,4,4
116,116,0,80000078,c,0,1001200c,00000000,4,4
117,117,0,80000078,d,0,1001200c,00000000,4,4
118,118,0,80000078,c,0,1001200c,00000000,4,4
119,119,0,80000078,c,0,1001200c,00000000,4,4
120,120,0,80000078,d,0,1001200c,00000000,4,4
121,121,0,80000078,c,0,1001200c,00000000,4,4
122,122,0,80000078,c,0,1001200c,00000000,4,4
123,123,0,80000078,d,0,1001200c,00000000,4,4
124,124,0,80000078,d,0,1001200c,00000000,4,4
125,125,0,80000078,c,0,1001200c,00000000,4,4
126,126,0,80000078,d,0,1001200c,00000000,4,4
127,127,0,80000078,d,0,1001200c,00000000,4,4
128,128,0,80000078,c,0,1001200c,00000000,4,4
129,129,0,80000078,d,0,1001200c,00000000,4,4
130,130,0,80000078,d,0,1001200c,00000000,4,4
131,131,0,80000078,c,0,1001200c,00000000,4,4
132,132,0,80000078,d,0,1001200c,00000000,4,4
133,133,0,80000078,d,0,1001200c,00000000,4,4
134,134,0,80000078,c,0,1001200c,00000000,4,4
135,135,0,80000078,c,0,1001200c,00000000,4,4
136,136,0,80000078,d,0,1001200c,00000000,4,4
137,137,0,80000078,c,0,1001200c,00000000,4,4
138,138,0,80000078,c,0,1001200c,00000000,4,4
139,139,0,80000078,d,0,1001200c,00000000,4,4
140,140,0,80000078,c,0,1001200c,00000000,4,4
141,141,0,80000078,c,0,1001200c,00000000,4,4
142,142,0,80000078,d,0,1001200c,00000000,4,4
143,143,0,80000078,c,0,1001200c,00000000,4,4
144,144,0,80000078,c,0,1001200c,00000000,4,4
145,145,0,80000078,d,0,1001200c,00000000,4,4
146,146,0,80000078,c,0,1001200c,00000000,4,4
147,147,0,80000078,c,0,1001200c,00000000,4,4
148,148,0,80000078,d,0,1001200c,00000000,4,4
149,149,0,80000078,d,0,1001200c,00000000,4,4
150,150,0,80000078,c,0,1001200c,00000000,4,4
151,151,0,80000078,d,0,1001200c,00000000,4,4
152,152,0,80000078,d,0,1001200c,00000000,4,4
153,153,0,80000078,c,0,1001200c,00000000,4,4
154,154,0,80000078,d,0,1001200c,00000000,4,4
155,155,0,80000078,d,0,1001200c,00000000,4,4
156,156,0,80000078,c,0,1001200c,00000000,4,4
157,157,0,80000078,d,0,1001200c,00000000,4,4
158,158,0,80000078,d,0,1001200c,00000000,4,4
159,159,0,80000078,c,0,1001200c,00000000,4,4
160,160,0,80000078,c,0,1001200c,00000000,4,4
161,161,0,80000078,d,0,1001200c,00000000,4,4
162,162,0,80000078,c,0,1001200c,00000000,4,4
163,163,0,80000078,c,0,1001200c,00000000,4,4
164,164,0,80000078,d,0,1001200c,00000000,4,4
165,165,0,80000078,c,0,1001200c,00000000,4,4
166,166,0,80000078,c,0,1001200c,00000000,4,4
167,167,0,80000078,d,0,1001200c,00000000,4,4
168,168,0,80000078,c,0,1001200c,00000000,4,4
169,169,0,80000078,c,0,1001200c,00000000,4,4
170,170,0,80000078,d,0,1001200c,00000000,4,4
171,171,0,80000078,c,0,1001200c,00000000,4,4
172,172,0,80000078,c,0,1001200c,00000000,4,4
173,173,0,80000078,d,0,1001200c,00000000,4,4
174,174,0,80000078,d,0,1001200c,00000000,4,4
175,175,0,80000078,c,0,1001200c,00000000,4,4
176,176,0,80000078,d,0,1001200c,00000000,4,4
177,177,0,80000078,d,0,1001200c,00000000,4,4
178,178,0,80000078,c,0,1001200c,00000000,4,4
179,179,0,80000078,d,0,1001200c,00000000,4,4
180,180,0,80000078,d,0,1001200c,00000000,4,4
